asin,title,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,amazoniq_category_id,amazoniq_category_name,source_leaf_name,flag_reviews_zero,flag_price_zero,flag_stars_zero,source_id,source_file
B09QJRH7PC,Unisex-Child Classic Glitter Lined Clog,https://www.amazon.com/dp/B09QJRH7PC,5.0,0,43.72,49.99,97,False,0,clothing,Clothing & Accessories,Girls' Shoes,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B0BP99N6RG,Women's Kammi Heeled Sandal,https://www.amazon.com/dp/B0BP99N6RG,0.0,0,60.47,109.95,122,False,0,clothing,Clothing & Accessories,Women's Shoes,True,False,True,SRC-KAGGLE-002,amazon_products.csv
B075CTQXBN,Little Girls Red Black Velvet Plaid Holiday Fall Christmas Girls Dress 3Mos-12,https://www.amazon.com/dp/B075CTQXBN,4.7,220,70.99,0.0,91,False,0,clothing,Clothing & Accessories,Girls' Clothing,False,False,False,SRC-KAGGLE-002,amazon_products.csv
B07HNKCL7Y,Thermal Underwear Men Ultra-Soft Long Johns Set with Fleece Lined Base Layer Winter Skiing Warm Top & Bottom,https://www.amazon.com/dp/B07HNKCL7Y,4.6,0,24.98,0.0,110,False,0,clothing,Clothing & Accessories,Men's Clothing,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B0BVWK2QK4,OPP Women Fashion Sneakers Casual Lace-up Suede Leather Athletic Tennis Sports Gym Running Shoes Women,https://www.amazon.com/dp/B0BVWK2QK4,3.7,0,135.99,0.0,122,False,0,clothing,Clothing & Accessories,Women's Shoes,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B0042ESGV0,Unisex-Child Tap-Flex,https://www.amazon.com/dp/B0042ESGV0,4.7,0,69.93,0.0,90,False,0,clothing,Clothing & Accessories,Boys' Shoes,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B07G48YMRY,Kids Raincoat,https://www.amazon.com/dp/B07G48YMRY,4.9,633,41.99,44.95,84,False,0,clothing,Clothing & Accessories,Boys' Clothing,False,False,False,SRC-KAGGLE-002,amazon_products.csv
B093QMR5ZY,girls Ryder Knit Flexirun™ (Toddler/Little Kid),https://www.amazon.com/dp/B093QMR5ZY,5.0,0,35.63,0.0,97,False,0,clothing,Clothing & Accessories,Girls' Shoes,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B0B5FDBH4M,"Girls 2 Pieces Legging Set, Lavender Frost/Print, 6X US",https://www.amazon.com/dp/B0B5FDBH4M,0.0,0,20.58,0.0,91,False,0,clothing,Clothing & Accessories,Girls' Clothing,True,False,True,SRC-KAGGLE-002,amazon_products.csv
B0BSB3CZ8H,Girls 3 Pack T-Shirts Toddler to Big Kid,https://www.amazon.com/dp/B0BSB3CZ8H,4.3,42,25.19,0.0,91,False,0,clothing,Clothing & Accessories,Girls' Clothing,False,False,False,SRC-KAGGLE-002,amazon_products.csv
B09QKVSXX6,Women V Neck One Piece Swimsuit Wrapped Mesh Tummy Control Bathing Suit with Adjustable Spaghetti Straps,https://www.amazon.com/dp/B09QKVSXX6,4.0,0,29.59,39.99,116,False,100,clothing,Clothing & Accessories,Women's Clothing,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B0B12C75TG,Toddler Hiking Boots Boys Work Boots Toddler Shoes Little Kids Boots For Boys Ankle Boots,https://www.amazon.com/dp/B0B12C75TG,4.7,0,39.99,0.0,90,False,0,clothing,Clothing & Accessories,Boys' Shoes,True,False,False,SRC-KAGGLE-002,amazon_products.csv
B0CBTBHFNY,Boys Girls Lightweight Rain Jacket Hooded Cotton Lined Raincoat Waterproof Windbreaker Outwear,https://www.amazon.com/dp/B0CBTBHFNY,0.0,0,31.99,0.0,84,False,0,clothing,Clothing & Accessories,Boys' Clothing,True,False,True,SRC-KAGGLE-002,amazon_products.csv
