period,category_id,category_name,census_naics,census_label,kind_of_business_source,sales_millions_nsa,sales_note,preliminary_flag,source_id,source_file,source_sheet
1992-01-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,6734,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-02-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,7302,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-03-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,8245,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-04-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9152,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-05-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9294,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-06-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,8930,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-07-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,8846,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-08-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,10226,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-09-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9311,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-10-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9974,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-11-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,10876,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1992-12-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,17834,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1992
1993-01-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,7297,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-02-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,7306,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-03-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,8531,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-04-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9610,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-05-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9787,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-06-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9364,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-07-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9511,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-08-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,10331,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-09-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9735,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-10-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,10060,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-11-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,11430,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1993-12-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,18272,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1993
1994-01-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,7077,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1994
1994-02-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,7676,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1994
1994-03-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9661,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1994
1994-04-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9607,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1994
1994-05-01,clothing,Clothing & Accessories,448,Clothing and Clothing Accessories Stores,Clothing and clothing access. stores,9736,reported,False,SRC-CENSUS-001,mrtssales92-present.xlsx,1994
