ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,category_id,category_name,keyword,source_id,model
2021-08-15,4.2169913,11.024011711863139,26.603214178186146,4.2169913,4.2169913,3.4103288733340946,3.4103288733340946,3.4103288733340946,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.3780044818729835,-0.3780044818729835,-0.3780044818729835,0.0,0.0,0.0,18.598318488988678,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-08-22,4.227424001153846,11.765028481616225,27.677776836917634,4.227424001153846,4.227424001153846,3.745722988278316,3.745722988278316,3.745722988278316,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.04261036692876265,-0.04261036692876265,-0.04261036692876265,0.0,0.0,0.0,20.062183263475305,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-08-29,4.237856702307693,12.546557475596332,28.51720164462452,4.237856702307693,4.237856702307693,3.8036505880731983,3.8036505880731983,3.8036505880731983,3.7883333552070786,3.7883333552070786,3.7883333552070786,0.01531723286611994,0.01531723286611994,0.01531723286611994,0.0,0.0,0.0,20.357182840210292,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-09-05,4.248289403461539,10.945908709101882,27.478631502995388,4.248289403461539,4.248289403461539,3.5375794648759205,3.5375794648759205,3.5375794648759205,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.25075389033115825,-0.25075389033115825,-0.25075389033115825,0.0,0.0,0.0,19.27695075799705,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-09-12,4.2587221046153845,9.973565824500032,25.99681461275708,4.2587221046153845,4.2587221046153845,3.2168573152252065,3.2168573152252065,3.2168573152252065,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.5714760399818719,-0.5714760399818719,-0.5714760399818719,0.0,0.0,0.0,17.958423460358674,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-09-19,4.269154805769231,9.32737190375446,26.236659479064496,4.269154805769231,4.269154805769231,3.1634276575441747,3.1634276575441747,3.1634276575441747,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.6249056976629039,-0.6249056976629039,-0.6249056976629039,0.0,0.0,0.0,17.774317192677245,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-09-26,4.279587506923077,10.843002403783016,26.72805421885445,4.279587506923077,4.279587506923077,3.3878472898432435,3.3878472898432435,3.3878472898432435,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.40048606536383496,-0.40048606536383496,-0.40048606536383496,0.0,0.0,0.0,18.778176443899426,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-10-03,4.290020208076924,11.857116902994305,27.172380460331752,4.290020208076924,4.290020208076924,3.5598696941117334,3.5598696941117334,3.5598696941117334,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.22846366109534533,-0.22846366109534533,-0.22846366109534533,0.0,0.0,0.0,19.56193313393688,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-10-10,4.30045290923077,11.235581384312438,27.622833227982714,4.30045290923077,4.30045290923077,3.385928007029709,3.385928007029709,3.385928007029709,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.4024053481773695,-0.4024053481773695,-0.4024053481773695,0.0,0.0,0.0,18.861476857507625,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
2021-10-17,4.310885605289249,9.236653533922114,25.15816685733206,4.310885605289249,4.310885605289249,2.9822505447480547,2.9822505447480547,2.9822505447480547,3.7883333552070786,3.7883333552070786,3.7883333552070786,-0.8060828104590239,-0.8060828104590239,-0.8060828104590239,0.0,0.0,0.0,17.16702655000966,electronics,Electronics,headphones,SRC-TRENDS-001,prophet
