ds,category_id,category_name,keyword,actual,predicted,forecast_error,forecast_error_abs,forecast_error_pct,rolling_mape_4w,uncertainty_tier,source_id,model
2026-02-15,electronics,Electronics,headphones,30.0,28.983625787345893,1.0163742126541067,1.0163742126541067,3.387914042180355,,high,SRC-TRENDS-001,prophet
2026-02-22,electronics,Electronics,headphones,29.0,28.368474465749003,0.6315255342509971,0.6315255342509971,2.177674256037921,,high,SRC-TRENDS-001,prophet
2026-03-01,electronics,Electronics,headphones,29.0,28.768051908543185,0.2319480914568146,0.2319480914568146,0.799821005023511,,high,SRC-TRENDS-001,prophet
2026-03-08,electronics,Electronics,headphones,29.0,29.559591059378764,-0.5595910593787643,0.5595910593787643,1.9296243426853943,2.0737584114817924,high,SRC-TRENDS-001,prophet
2026-03-15,electronics,Electronics,headphones,32.0,29.48460515118609,2.5153948488139086,2.5153948488139086,7.860608902543453,3.1919321265725693,high,SRC-TRENDS-001,prophet
2026-03-22,electronics,Electronics,headphones,57.0,28.2776222915936,28.7223777084064,28.7223777084064,50.39013633053755,15.245047645197474,high,SRC-TRENDS-001,prophet
2026-03-29,electronics,Electronics,headphones,80.0,27.010324897566797,52.9896751024332,52.9896751024332,66.2370938780415,31.604365863451978,high,SRC-TRENDS-001,prophet
2026-04-05,electronics,Electronics,headphones,88.0,26.7740707791106,61.2259292208894,61.2259292208894,69.57491956919249,48.51568967007876,high,SRC-TRENDS-001,prophet
2026-04-12,electronics,Electronics,headphones,100.0,27.40713668948148,72.59286331051852,72.59286331051852,72.59286331051852,64.69875327207252,high,SRC-TRENDS-001,prophet
2026-04-19,electronics,Electronics,headphones,83.0,27.844637743752948,55.15536225624705,55.15536225624705,66.45224368222536,68.71428010999448,high,SRC-TRENDS-001,prophet
2026-04-26,electronics,Electronics,headphones,67.0,27.581276309804075,39.418723690195925,39.418723690195925,58.833915955516304,66.86348562936317,high,SRC-TRENDS-001,prophet
2026-05-03,electronics,Electronics,headphones,71.0,27.358925698589868,43.64107430141013,43.64107430141013,61.466301832972015,64.83633119530805,high,SRC-TRENDS-001,prophet
2026-05-10,electronics,Electronics,headphones,68.0,28.21008992169126,39.789910078308736,39.789910078308736,58.51457364457167,61.31675877882133,high,SRC-TRENDS-001,prophet
2026-05-17,electronics,Electronics,headphones,48.0,30.062418457990347,17.937581542009653,17.937581542009653,37.36996154585344,54.046188244728356,high,SRC-TRENDS-001,prophet
2026-05-24,electronics,Electronics,headphones,40.0,31.644272198794397,8.355727801205603,8.355727801205603,20.88931950301402,44.56003913160278,high,SRC-TRENDS-001,prophet
2026-05-31,electronics,Electronics,headphones,39.0,31.82498149260361,7.175018507396391,7.175018507396391,18.39748335229844,33.792834511434386,high,SRC-TRENDS-001,prophet
2026-06-07,electronics,Electronics,headphones,45.0,30.81209235349427,14.187907646505732,14.187907646505732,31.528683658901624,27.04636201501688,high,SRC-TRENDS-001,prophet
2026-06-14,electronics,Electronics,headphones,44.0,29.866602710918475,14.133397289081525,14.133397289081525,32.121357475185285,25.734210997349837,high,SRC-TRENDS-001,prophet
2026-06-21,electronics,Electronics,headphones,52.0,29.970540152465503,22.029459847534497,22.029459847534497,42.36434586064327,31.102967586757153,high,SRC-TRENDS-001,prophet
2026-06-28,electronics,Electronics,headphones,33.0,30.98441602944029,2.0155839705597103,2.0155839705597103,6.107830213817315,28.030554302136874,high,SRC-TRENDS-001,prophet
2026-07-05,electronics,Electronics,headphones,31.0,32.06730012950042,-1.067300129500417,1.067300129500417,3.442903643549732,21.0091092982989,high,SRC-TRENDS-001,prophet
2026-07-12,electronics,Electronics,headphones,28.0,32.63533518506931,-4.635335185069309,4.635335185069309,16.554768518104673,17.117462059028743,high,SRC-TRENDS-001,prophet
2026-07-19,electronics,Electronics,headphones,29.0,32.73948342137072,-3.7394834213707213,3.7394834213707213,12.89477041851973,9.75006819849786,high,SRC-TRENDS-001,prophet
2026-07-26,electronics,Electronics,headphones,28.0,32.687370237491535,-4.687370237491535,4.687370237491535,16.7406079910412,12.408262642803832,high,SRC-TRENDS-001,prophet
2026-08-02,electronics,Electronics,headphones,29.0,32.614705904359376,-3.6147059043593757,3.6147059043593757,12.464503118480604,14.663662511536552,high,SRC-TRENDS-001,prophet
2026-08-09,electronics,Electronics,headphones,38.0,32.48980073098693,5.510199269013071,5.510199269013071,14.50052439213966,14.150101480045299,high,SRC-TRENDS-001,prophet
2026-02-15,home_kitchen,Home & Kitchen,air fryer,52.0,54.0506596862326,-2.050659686232599,2.050659686232599,3.943576319678076,,elevated,SRC-TRENDS-001,prophet
2026-02-22,home_kitchen,Home & Kitchen,air fryer,48.0,50.74172991293746,-2.7417299129374584,2.7417299129374584,5.7119373186197056,,elevated,SRC-TRENDS-001,prophet
2026-03-01,home_kitchen,Home & Kitchen,air fryer,48.0,48.0675691147836,-0.06756911478360195,0.06756911478360195,0.140768989132504,,elevated,SRC-TRENDS-001,prophet
2026-03-08,home_kitchen,Home & Kitchen,air fryer,52.0,47.42245403446818,4.577545965531819,4.577545965531819,8.802973010638112,4.649813909517099,elevated,SRC-TRENDS-001,prophet
2026-03-15,home_kitchen,Home & Kitchen,air fryer,50.0,47.688772239803846,2.3112277601961537,2.3112277601961537,4.6224555203923074,4.819533709695658,elevated,SRC-TRENDS-001,prophet
2026-03-22,home_kitchen,Home & Kitchen,air fryer,58.0,47.04784321905408,10.95215678094592,10.95215678094592,18.88302893266538,8.112306613207076,elevated,SRC-TRENDS-001,prophet
2026-03-29,home_kitchen,Home & Kitchen,air fryer,70.0,45.28968091927749,24.710319080722513,24.710319080722513,35.300455829603585,16.90222832332485,elevated,SRC-TRENDS-001,prophet
2026-04-05,home_kitchen,Home & Kitchen,air fryer,78.0,43.78435403087769,34.21564596912231,34.21564596912231,43.86621278092605,25.668038265896833,elevated,SRC-TRENDS-001,prophet
2026-04-12,home_kitchen,Home & Kitchen,air fryer,83.0,43.48277997634973,39.51722002365027,39.51722002365027,47.61110846222924,36.415201501356066,elevated,SRC-TRENDS-001,prophet
2026-04-19,home_kitchen,Home & Kitchen,air fryer,74.0,43.70330777614976,30.296692223850243,30.296692223850243,40.941475978176,41.929813262733724,elevated,SRC-TRENDS-001,prophet
2026-04-26,home_kitchen,Home & Kitchen,air fryer,64.0,43.18972334783973,20.81027665216027,20.81027665216027,32.516057269000434,41.23371362258293,elevated,SRC-TRENDS-001,prophet
2026-05-03,home_kitchen,Home & Kitchen,air fryer,72.0,41.90165570013712,30.09834429986288,30.09834429986288,41.80325597203178,40.71797442035936,elevated,SRC-TRENDS-001,prophet
2026-05-10,home_kitchen,Home & Kitchen,air fryer,67.0,41.14661127010279,25.853388729897212,25.853388729897212,38.58714735805554,38.46198414431594,elevated,SRC-TRENDS-001,prophet
2026-05-17,home_kitchen,Home & Kitchen,air fryer,56.0,41.91178814156809,14.088211858431912,14.088211858431912,25.15752117577127,34.51599544371475,elevated,SRC-TRENDS-001,prophet
2026-05-24,home_kitchen,Home & Kitchen,air fryer,56.0,43.57826096763338,12.421739032366617,12.421739032366617,22.181676843511816,31.932400337342603,elevated,SRC-TRENDS-001,prophet
2026-05-31,home_kitchen,Home & Kitchen,air fryer,51.0,44.655583627929616,6.344416372070384,6.344416372070384,12.440032102098792,24.591594369859358,elevated,SRC-TRENDS-001,prophet
2026-06-07,home_kitchen,Home & Kitchen,air fryer,57.0,44.58298650547983,12.41701349452017,12.41701349452017,21.78423420091258,20.390866080573613,elevated,SRC-TRENDS-001,prophet
2026-06-14,home_kitchen,Home & Kitchen,air fryer,55.0,44.3484642688698,10.651535731130203,10.651535731130203,19.366428602054917,18.943092937144524,elevated,SRC-TRENDS-001,prophet
2026-06-21,home_kitchen,Home & Kitchen,air fryer,60.0,45.22198162482471,14.778018375175293,14.778018375175293,24.630030625292157,19.55518138258961,elevated,SRC-TRENDS-001,prophet
2026-06-28,home_kitchen,Home & Kitchen,air fryer,53.0,47.21267005179009,5.7873299482099085,5.7873299482099085,10.919490468320582,19.175045974145057,elevated,SRC-TRENDS-001,prophet
2026-07-05,home_kitchen,Home & Kitchen,air fryer,49.0,49.06524724681986,-0.06524724681985816,0.06524724681985816,0.1331576465711391,13.762276835559698,elevated,SRC-TRENDS-001,prophet
2026-07-12,home_kitchen,Home & Kitchen,air fryer,49.0,49.64001915588129,-0.6400191558812907,0.6400191558812907,1.306161542614879,9.247210070699689,elevated,SRC-TRENDS-001,prophet
2026-07-19,home_kitchen,Home & Kitchen,air fryer,50.0,48.96252396121367,1.0374760387863304,1.0374760387863304,2.074952077572661,3.6084404337698155,elevated,SRC-TRENDS-001,prophet
2026-07-26,home_kitchen,Home & Kitchen,air fryer,55.0,47.88855905628134,7.111440943718662,7.111440943718662,12.929892624943024,4.111040972925426,elevated,SRC-TRENDS-001,prophet
2026-08-02,home_kitchen,Home & Kitchen,air fryer,53.0,47.0900686019118,5.909931398088197,5.909931398088197,11.150813958656975,6.865455050946885,elevated,SRC-TRENDS-001,prophet
2026-08-09,home_kitchen,Home & Kitchen,air fryer,60.0,46.62804988860081,13.371950111399187,13.371950111399187,22.286583518998647,12.110560545042826,elevated,SRC-TRENDS-001,prophet
2026-02-15,clothing,Clothing & Accessories,running shoes,27.0,21.01987925909105,5.980120740908951,5.980120740908951,22.14859533669981,,high,SRC-TRENDS-001,prophet
2026-02-22,clothing,Clothing & Accessories,running shoes,26.0,21.22208674210962,4.777913257890379,4.777913257890379,18.376589453424536,,high,SRC-TRENDS-001,prophet
2026-03-01,clothing,Clothing & Accessories,running shoes,24.0,21.784578337429675,2.215421662570325,2.215421662570325,9.230923594043022,,high,SRC-TRENDS-001,prophet
2026-03-08,clothing,Clothing & Accessories,running shoes,23.0,22.755819888037475,0.24418011196252465,0.24418011196252465,1.061652660706629,12.704440261218503,high,SRC-TRENDS-001,prophet
2026-03-15,clothing,Clothing & Accessories,running shoes,25.0,23.28512749210739,1.7148725078926113,1.7148725078926113,6.859490031570445,8.882163934936157,high,SRC-TRENDS-001,prophet
2026-03-22,clothing,Clothing & Accessories,running shoes,37.0,22.772496339455778,14.227503660544222,14.227503660544222,38.45271259606547,13.901194720596388,high,SRC-TRENDS-001,prophet
2026-03-29,clothing,Clothing & Accessories,running shoes,71.0,21.74134189267823,49.25865810732177,49.25865810732177,69.37839170045321,28.938061747198933,high,SRC-TRENDS-001,prophet
2026-04-05,clothing,Clothing & Accessories,running shoes,93.0,21.29513757016016,71.70486242983984,71.70486242983984,77.102002612731,47.94814923520503,high,SRC-TRENDS-001,prophet
2026-04-12,clothing,Clothing & Accessories,running shoes,100.0,21.82915554279711,78.17084445720289,78.17084445720289,78.17084445720289,65.77598784161314,high,SRC-TRENDS-001,prophet
2026-04-19,clothing,Clothing & Accessories,running shoes,74.0,22.59953580822862,51.40046419177138,51.40046419177138,69.460086745637,73.52783137900603,high,SRC-TRENDS-001,prophet
2026-04-26,clothing,Clothing & Accessories,running shoes,61.0,22.66029765387625,38.33970234612375,38.33970234612375,62.85197105921927,71.89622621869754,high,SRC-TRENDS-001,prophet
2026-05-03,clothing,Clothing & Accessories,running shoes,63.0,21.984217897340084,41.01578210265991,41.01578210265991,65.10441603596811,68.89682957450681,high,SRC-TRENDS-001,prophet
2026-05-10,clothing,Clothing & Accessories,running shoes,74.0,21.411256608071152,52.588743391928844,52.588743391928844,71.06586944855249,67.12058582234421,high,SRC-TRENDS-001,prophet
2026-05-17,clothing,Clothing & Accessories,running shoes,68.0,21.56934496250671,46.43065503749329,46.43065503749329,68.28037505513718,66.82565789971926,high,SRC-TRENDS-001,prophet
2026-05-24,clothing,Clothing & Accessories,running shoes,46.0,22.15040631942894,23.84959368057106,23.84959368057106,51.84694278385014,64.07440083087698,high,SRC-TRENDS-001,prophet
2026-05-31,clothing,Clothing & Accessories,running shoes,46.0,22.38397464332144,23.61602535667856,23.61602535667856,51.33918555799688,60.63309321138417,high,SRC-TRENDS-001,prophet
2026-06-07,clothing,Clothing & Accessories,running shoes,55.0,22.013825368072,32.986174631928,32.986174631928,59.9748629671418,57.86034159103149,high,SRC-TRENDS-001,prophet
2026-06-14,clothing,Clothing & Accessories,running shoes,52.0,21.53153597097849,30.46846402902151,30.46846402902151,58.59320005581059,55.438547841199856,high,SRC-TRENDS-001,prophet
2026-06-21,clothing,Clothing & Accessories,running shoes,52.0,21.473626830139526,30.526373169860474,30.526373169860474,58.70456378819322,57.15295309228563,high,SRC-TRENDS-001,prophet
2026-06-28,clothing,Clothing & Accessories,running shoes,30.0,21.791085487331056,8.208914512668944,8.208914512668944,27.36304837556315,51.1589187966772,high,SRC-TRENDS-001,prophet
2026-07-05,clothing,Clothing & Accessories,running shoes,28.0,22.09671899305592,5.903281006944081,5.903281006944081,21.08314645337173,41.43598966823467,high,SRC-TRENDS-001,prophet
2026-07-12,clothing,Clothing & Accessories,running shoes,21.0,22.346108924355395,-1.346108924355395,1.346108924355395,6.410042496930453,28.390200278514634,high,SRC-TRENDS-001,prophet
2026-07-19,clothing,Clothing & Accessories,running shoes,22.0,22.93090733475607,-0.9309073347560712,0.9309073347560712,4.23139697616396,14.77190857550732,high,SRC-TRENDS-001,prophet
